skill_term,skill_term_raw,l4_type,l1_code,l2_name,l3_name
"激光slam","激光SLAM","细分词",T1,"导航与定位",""
"感知系统","感知系统","细分词",T1,"感知认知与理解",""
"机器人视觉感知","机器人视觉感知","细分词",T1,"感知认知与理解",""
"视觉感知","视觉感知","细分词",T1,"感知认知与理解",""
"多模态感知","多模态感知","细分词",T1,"感知认知与理解",""
"小目标检测","小目标检测","细分词",T1,"感知认知与理解",""
"3d视觉感知","3D视觉感知","细分词",T1,"感知认知与理解",""
"3d视觉","3D视觉","细分词",T1,"感知认知与理解",""
"视觉理解","视觉理解","细分词",T1,"感知认知与理解",""
"灵巧操作","灵巧操作","细分词",T1,"灵巧操作与抓取",""
"双臂协同操作","双臂协同操作","细分词",T1,"灵巧操作与抓取",""
"机器人灵巧操作","机器人灵巧操作","细分词",T1,"灵巧操作与抓取",""
"群体智能","群体智能","细分词",T1,"群体智能与协同",""
"运动控制","运动控制","细分词",T1,"运动规划与控制",""
"运动控制器","运动控制器","细分词",T1,"运动规划与控制",""
"控制系统","控制系统","细分词",T1,"运动规划与控制",""
"力控","力控","细分词",T1,"运动规划与控制",""
"运动控制算法","运动控制算法","细分词",T1,"运动规划与控制",""
"机器人运动控制","机器人运动控制","细分词",T1,"运动规划与控制",""
"柔顺控制","柔顺控制","细分词",T1,"运动规划与控制",""
"全身控制","全身控制","细分词",T1,"运动规划与控制",""
"力控机械臂","力控机械臂","细分词",T1,"运动规划与控制",""
"具身操作","具身操作","细分词",T1,"运动规划与控制",""
"机器视觉","机器视觉","细分词",T2,"力觉与触觉传感",""
"扭矩传感器","扭矩传感器","细分词",T2,"力觉与触觉传感",""
"触觉传感器","触觉传感器","细分词",T2,"力觉与触觉传感",""
"机器人视觉","机器人视觉","细分词",T2,"力觉与触觉传感",""
"力觉传感器","力觉传感器","细分词",T2,"力觉与触觉传感",""
"力觉","力觉","细分词",T2,"力觉与触觉传感",""
"力传感器","力传感器","细分词",T2,"力觉与触觉传感",""
"六维力传感器","六维力传感器","细分词",T2,"力觉与触觉传感",""
"电子皮肤","电子皮肤","细分词",T2,"力觉与触觉传感",""
"立体视觉","立体视觉","细分词",T2,"力觉与触觉传感",""
"视触觉传感","视触觉传感","细分词",T2,"力觉与触觉传感",""
"具身感知","具身感知","细分词",T2,"力觉与触觉传感",""
"光学组件","光学组件","细分词",T2,"力觉与触觉传感",""
"视觉镜头","视觉镜头","细分词",T2,"力觉与触觉传感",""
"激光雷达","激光雷达","细分词",T2,"视觉传感",""
lidar,LiDAR,"细分词",T2,"视觉传感",""
"深度相机","深度相机","细分词",T2,"视觉传感",""
"视觉传感器","视觉传感器","细分词",T2,"视觉传感",""
"视觉模块","视觉模块","细分词",T2,"视觉传感",""
"电机","电机","细分词",T3,"关节与驱动模组",""
"执行器","执行器","细分词",T3,"关节与驱动模组",""
"直线电机","直线电机","细分词",T3,"关节与驱动模组",""
"直驱电机","直驱电机","细分词",T3,"关节与驱动模组",""
"力矩电机","力矩电机","细分词",T3,"关节与驱动模组",""
"无框力矩电机","无框力矩电机","细分词",T3,"关节与驱动模组",""
"关节模组","关节模组","细分词",T3,"关节与驱动模组",""
"关节驱动","关节驱动","细分词",T3,"关节与驱动模组",""
"一体化关节","一体化关节","细分词",T3,"关节与驱动模组",""
"伺服驱动","伺服驱动","细分词",T3,"关节与驱动模组",""
"关节模块","关节模块","细分词",T3,"关节与驱动模组",""
"伺服驱动系统","伺服驱动系统","细分词",T3,"关节与驱动模组",""
"一体化关节模组","一体化关节模组","细分词",T3,"关节与驱动模组",""
"电机模组","电机模组","细分词",T3,"关节与驱动模组",""
"关节总成","关节总成","细分词",T3,"关节与驱动模组",""
"减速器","减速器","细分词",T3,"减速器与传动",""
"谐波减速器","谐波减速器","细分词",T3,"减速器与传动",""
"精密传动","精密传动","细分词",T3,"减速器与传动",""
"行星滚柱丝杠","行星滚柱丝杠","细分词",T3,"减速器与传动",""
"谐波减速机","谐波减速机","细分词",T3,"减速器与传动",""
"精密减速器","精密减速器","细分词",T3,"减速器与传动",""
"开源框架","开源框架","细分词",T3,"整机-人形机器人",""
"人形机器人整机","人形机器人整机","细分词",T3,"整机-人形机器人",""
"全尺寸人形机器人","全尺寸人形机器人","细分词",T3,"整机-人形机器人",""
"双足人形机器人","双足人形机器人","细分词",T3,"整机-人形机器人",""
"双足机器人","双足机器人","细分词",T3,"整机-人形机器人",""
"工业人形机器人","工业人形机器人","细分词",T3,"整机-人形机器人",""
"人形机器人平台","人形机器人平台","细分词",T3,"整机-人形机器人",""
"轮式人形机器人","轮式人形机器人","细分词",T3,"整机-人形机器人",""
"通用人形机器人","通用人形机器人","细分词",T3,"整机-人形机器人",""
"人形机器人企业","人形机器人企业","细分词",T3,"整机-人形机器人",""
"四足仿生机器人","四足仿生机器人","细分词",T3,"整机-四足与仿生",""
"仿生机器人","仿生机器人","细分词",T3,"整机-四足与仿生",""
"四足","四足","细分词",T3,"整机-四足与仿生",""
"四足机器人","四足机器人","细分词",T3,"整机-四足与仿生",""
"四足机器狗","四足机器狗","细分词",T3,"整机-四足与仿生",""
"机器狗","机器狗","细分词",T3,"整机-四足与仿生",""
"轮足机器人","轮足机器人","细分词",T3,"整机-四足与仿生",""
"服务机器人","服务机器人","细分词",T3,"整机-臂与复合机器人",""
"移动机器人","移动机器人","细分词",T3,"整机-臂与复合机器人",""
"协作机器人","协作机器人","细分词",T3,"整机-臂与复合机器人",""
"工业机器人","工业机器人","细分词",T3,"整机-臂与复合机器人",""
amr,AMR,"细分词",T3,"整机-臂与复合机器人",""
"复合机器人","复合机器人","细分词",T3,"整机-臂与复合机器人",""
"外骨骼","外骨骼","细分词",T3,"整机-臂与复合机器人",""
"工业机械臂","工业机械臂","细分词",T3,"整机-臂与复合机器人",""
"并联机器人","并联机器人","细分词",T3,"整机-臂与复合机器人",""
"灵巧手","灵巧手","细分词",T3,"灵巧手与末端执行器",""
"机器人灵巧手","机器人灵巧手","细分词",T3,"灵巧手与末端执行器",""
"末端执行器","末端执行器","细分词",T3,"灵巧手与末端执行器",""
"夹爪","夹爪","细分词",T3,"灵巧手与末端执行器",""
"多自由度灵巧手","多自由度灵巧手","细分词",T3,"灵巧手与末端执行器",""
"智能材料","智能材料","细分词",T3,"结构件与材料",""
"嵌入式开发","嵌入式开发","细分词",T3,"芯片与算力硬件",""
"域控制器","域控制器","细分词",T3,"芯片与算力硬件",""
"计算平台","计算平台","细分词",T3,"芯片与算力硬件",""
"ai芯片","AI芯片","细分词",T3,"芯片与算力硬件",""
"仿真到现实迁移","仿真到现实迁移","细分词",T4,"Sim-to-Real迁移",""
"系统辨识","系统辨识","细分词",T4,"Sim-to-Real迁移",""
"域随机化","域随机化","细分词",T4,"Sim-to-Real迁移",""
"数字孪生","数字孪生","细分词",T4,"仿真平台与环境",""
"仿真平台","仿真平台","细分词",T4,"仿真平台与环境",""
"仿真引擎","仿真引擎","细分词",T4,"仿真平台与环境",""
"仿真工具链","仿真工具链","细分词",T4,"仿真平台与环境",""
"仿真训练","仿真训练","细分词",T4,"仿真平台与环境",""
"合成数据生成","合成数据生成","细分词",T4,"数据合成与生成",""
"合成数据","合成数据","细分词",T4,"数据合成与生成",""
"遥操作","遥操作","细分词",T4,"数据集与数据采集",""
"数据集","数据集","细分词",T4,"数据集与数据采集",""
"数据采集系统","数据采集系统","细分词",T4,"数据集与数据采集",""
"数据采集设备","数据采集设备","细分词",T4,"数据集与数据采集",""
"数据服务","数据服务","细分词",T4,"数据集与数据采集",""
"数据采集平台","数据采集平台","细分词",T4,"数据集与数据采集",""
"遥操作数据采集","遥操作数据采集","细分词",T4,"数据集与数据采集",""
"具身智能数据集","具身智能数据集","细分词",T4,"数据集与数据采集",""
"训练场","训练场","细分词",T4,"数据集与数据采集",""
"通信网络","通信网络","细分词",T5,"中间件与通信",""
"边缘计算","边缘计算","细分词",T5,"云边端与算力基础设施",""
"算力平台","算力平台","细分词",T5,"云边端与算力基础设施",""
"算力基础设施","算力基础设施","细分词",T5,"云边端与算力基础设施",""
"开发平台","开发平台","细分词",T5,"开发与部署工具链",""
ros,ROS,"细分词",T5,"机器人操作系统",""
"机器人操作系统","机器人操作系统","细分词",T5,"机器人操作系统",""
"多模态交互","多模态交互","细分词",T6,"人机交互与协作",""
"人机交互","人机交互","细分词",T6,"人机交互与协作",""
"人机共融","人机共融","细分词",T6,"人机交互与协作",""
"检测","检测","细分词",T6,"检测认证与标准",""
"检测认证","检测认证","细分词",T6,"检测认证与标准",""
"工业视觉检测","工业视觉检测","细分词",T6,"检测认证与标准",""
"防爆认证","防爆认证","细分词",T6,"检测认证与标准",""
"评测平台","评测平台","细分词",T6,"评测基准与竞赛",""
"无人机","无人机","细分词",T7,"低空与移动载体",""
evtol,eVTOL,"细分词",T7,"低空与移动载体",""
"飞行器","飞行器","细分词",T7,"低空与移动载体",""
"低空经济","低空经济","细分词",T7,"低空与移动载体",""
"低空","低空","细分词",T7,"低空与移动载体",""
"农业机器人","农业机器人","细分词",T7,"农业与户外场景",""
"康复机器人","康复机器人","细分词",T7,"医疗康复场景",""
"医疗具身智能","医疗具身智能","细分词",T7,"医疗康复场景",""
"医疗机器人","医疗机器人","细分词",T7,"医疗康复场景",""
"商业服务","商业服务","细分词",T7,"商业服务场景",""
"清洁机器人","清洁机器人","细分词",T7,"商业服务场景",""
"陪伴机器人","陪伴机器人","细分词",T7,"家庭与消费场景",""
"消费级机器人","消费级机器人","细分词",T7,"家庭与消费场景",""
"教育机器人","教育机器人","细分词",T7,"家庭与消费场景",""
"职业教育","职业教育","细分词",T7,"家庭与消费场景",""
"汽车","汽车","细分词",T7,"工业制造场景",""
"智能制造","智能制造","细分词",T7,"工业制造场景",""
"工业自动化","工业自动化","细分词",T7,"工业制造场景",""
"智能装备","智能装备","细分词",T7,"工业制造场景",""
"工业互联网平台","工业互联网平台","细分词",T7,"工业制造场景",""
"特种巡检","特种巡检","细分词",T7,"工业制造场景",""
"工业解决方案","工业解决方案","细分词",T7,"工业制造场景",""
"巡检机器人","巡检机器人","细分词",T7,"工业制造场景",""
"焊接设备","焊接设备","细分词",T7,"工业制造场景",""
"电力巡检机器人","电力巡检机器人","细分词",T7,"工业制造场景",""
"仓储物流","仓储物流","细分词",T7,"物流仓储场景",""
"配送机器人","配送机器人","细分词",T7,"物流仓储场景",""
"智慧物流","智慧物流","细分词",T7,"物流仓储场景",""
"仓储自动化","仓储自动化","细分词",T7,"物流仓储场景",""
"空间智能","空间智能","细分词",T7,"特种与应急场景",""
"防爆机器人","防爆机器人","细分词",T7,"特种与应急场景",""
"特种机器人","特种机器人","细分词",T7,"特种与应急场景",""
