id,type,label,level,family,mention_count,title,career_dir,career_kind,chain,segment
tech:T1.01.04,technology,大小脑分层架构,L3,,,,,,,
tech:T1.01.05,technology,具身推理机制,L3,,,,,,,
tech:T1.01.06,technology,大模型部署与推理优化,L3,,,,,,,
tech:T1.01.07,technology,多模态运动生成,L3,,,,,,,
tech:T1.01.08,technology,移动操控一体化,L3,,,,,,,
tech:T1.01.09,technology,具身感知统一表示,L3,,,,,,,
tech:T1.01.10,technology,遥操作与端到端控制,L3,,,,,,,
tech:T1.01.11,technology,VLA端到端大模型,L3,,,,,,,
tech:T1.01.12,technology,细分方法与技术(其他),L3,,,,,,,
tech:T1.02.01,technology,触觉世界模型,L3,,,,,,,
tech:T1.02.02,technology,世界模型安全预演,L3,,,,,,,
tech:T1.02.03,technology,世界模型推理与加速,L3,,,,,,,
tech:T1.02.04,technology,想象训练与Rollout,L3,,,,,,,
tech:T1.02.05,technology,世界模型价值与策略,L3,,,,,,,
tech:T1.02.06,technology,世界模型评测基准,L3,,,,,,,
tech:T1.02.07,technology,具身智能体(Agent),L3,,,,,,,
tech:T1.02.08,technology,世界模型数据集,L3,,,,,,,
tech:T1.02.09,technology,世界模型感知表征,L3,,,,,,,
tech:T1.02.10,technology,世界模型架构,L3,,,,,,,
tech:T1.03.01,technology,全身控制(WBC),L3,,,,,,,
tech:T1.03.02,technology,模型预测控制(MPC),L3,,,,,,,
tech:T1.03.03,technology,力控与柔顺控制,L3,,,,,,,
tech:T1.03.04,technology,运动规划,L3,,,,,,,
tech:T1.03.05,technology,双足行走与步态,L3,,,,,,,
tech:T1.03.06,technology,逆动力学,L3,,,,,,,
tech:T1.03.07,technology,运动生成,L3,,,,,,,
tech:T1.03.08,technology,学习驱动运动控制,L3,,,,,,,
tech:T1.03.09,technology,模型驱动运动控制,L3,,,,,,,
tech:T1.03.10,technology,触觉仿真,L3,,,,,,,
tech:T1.03.11,technology,具身操作,L3,,,,,,,
tech:T1.03.12,technology,运动控制(通用),L3,,,,,,,
tech:T1.03.13,technology,细分方法与技术(其他),L3,,,,,,,
tech:T1.04.01,technology,SLAM,L3,,,,,,,
tech:T1.04.02,technology,视觉导航,L3,,,,,,,
tech:T1.04.03,technology,激光导航,L3,,,,,,,
tech:T1.04.04,technology,多源融合定位,L3,,,,,,,
tech:T1.04.05,technology,光学/电磁定位,L3,,,,,,,
tech:T1.04.06,technology,路径规划与轨迹,L3,,,,,,,
tech:T1.04.07,technology,端到端导航,L3,,,,,,,
tech:T1.04.08,technology,具身智能导航,L3,,,,,,,
tech:T1.04.09,technology,导航(通用),L3,,,,,,,
tech:T1.04.10,technology,细分方法与技术(其他),L3,,,,,,,
tech:T1.05.01,technology,扩散策略,L3,,,,,,,
tech:T1.05.02,technology,强化学习,L3,,,,,,,
tech:T1.05.03,technology,模仿学习,L3,,,,,,,
tech:T1.05.04,technology,深度学习,L3,,,,,,,
tech:T1.05.05,technology,机器人学习,L3,,,,,,,
tech:T1.05.06,technology,元学习,L3,,,,,,,
tech:T1.05.07,technology,自监督学习,L3,,,,,,,
tech:T1.05.08,technology,学习与训练方法(通用),L3,,,,,,,
tech:T1.06.01,technology,灵巧手语义接口,L3,,,,,,,
tech:T1.06.02,technology,3D视觉感知,L3,,,,,,,
tech:T1.06.03,technology,多模态感知融合,L3,,,,,,,
tech:T1.06.04,technology,视觉感知与理解,L3,,,,,,,
tech:T1.06.05,technology,场景理解与环境感知,L3,,,,,,,
tech:T1.06.06,technology,目标检测,L3,,,,,,,
tech:T1.06.07,technology,语义记忆与推理,L3,,,,,,,
tech:T1.06.08,technology,空间表征与动作空间,L3,,,,,,,
tech:T1.06.09,technology,自主认知,L3,,,,,,,
tech:T1.06.10,technology,感知认知(通用),L3,,,,,,,
tech:T1.07.01,technology,具身推理与ECoT,L3,,,,,,,
tech:T1.07.02,technology,记忆机制,L3,,,,,,,
tech:T1.07.03,technology,知识图谱构建与更新,L3,,,,,,,
tech:T1.07.04,technology,图检索增强(GraphRAG),L3,,,,,,,
tech:T1.07.05,technology,图神经网络与嵌入,L3,,,,,,,
tech:T1.07.06,technology,任务规划与分解,L3,,,,,,,
tech:T1.07.07,technology,场景图建模,L3,,,,,,,
tech:T1.07.08,technology,图匹配算法,L3,,,,,,,
tech:T1.07.09,technology,细分方法与技术(其他),L3,,,,,,,
tech:T1.08.01,technology,群体智能与协同,L3,,,,,,,
tech:T1.09.01,technology,双臂协同操作,L3,,,,,,,
tech:T1.09.02,technology,操作规划,L3,,,,,,,
tech:T1.09.03,technology,灵巧度基准与评测,L3,,,,,,,
tech:T1.09.04,technology,灵巧抓取,L3,,,,,,,
tech:T1.09.05,technology,灵巧操作,L3,,,,,,,
tech:T1.09.06,technology,操作感知与表示,L3,,,,,,,
tech:T1.09.07,technology,抓取合成与数据,L3,,,,,,,
tech:T1.09.08,technology,细分方法与技术(其他),L3,,,,,,,
tech:T2.01.01,technology,激光雷达,L3,,,,,,,
tech:T2.01.02,technology,深度相机,L3,,,,,,,
tech:T2.01.03,technology,视觉传感器,L3,,,,,,,
tech:T2.02.01,technology,六维力传感器,L3,,,,,,,
tech:T2.02.02,technology,关节力矩传感器,L3,,,,,,,
tech:T2.02.03,technology,电子皮肤与柔性触觉,L3,,,,,,,
tech:T2.02.04,technology,视触觉传感与融合,L3,,,,,,,
tech:T2.02.05,technology,触觉传感器,L3,,,,,,,
tech:T2.02.06,technology,触觉感知算法,L3,,,,,,,
tech:T2.02.07,technology,机器视觉,L3,,,,,,,
tech:T2.02.08,technology,具身感知与交互,L3,,,,,,,
tech:T2.02.09,technology,力觉感知,L3,,,,,,,
tech:T2.02.10,technology,传感器,L3,,,,,,,
tech:T2.02.11,technology,边缘传感器,L3,,,,,,,
tech:T2.03.01,technology,语音交互,L3,,,,,,,
tech:T2.03.02,technology,听觉传感,L3,,,,,,,
tech:T2.04.01,technology,惯性测量单元(IMU),L3,,,,,,,
tech:T2.05.01,technology,多模态传感融合,L3,,,,,,,
tech:T2.05.02,technology,标定与同步采集,L3,,,,,,,
tech:T2.05.03,technology,3D重建,L3,,,,,,,
tech:T2.05.04,technology,主动感知,L3,,,,,,,
tech:T2.05.05,technology,分割与实例感知,L3,,,,,,,
tech:T3.01.01,technology,双足人形机器人,L3,,,,,,,
tech:T3.01.02,technology,轮式人形机器人,L3,,,,,,,
tech:T3.01.03,technology,特种人形机器人,L3,,,,,,,
tech:T3.01.04,technology,人形机器人核心零部件,L3,,,,,,,
tech:T3.01.05,technology,人形机器人整机与商业化,L3,,,,,,,
tech:T3.01.06,technology,人形机器人智能系统,L3,,,,,,,
tech:T3.01.07,technology,人形机器人场景应用,L3,,,,,,,
tech:T3.01.08,technology,人形机器人(通用),L3,,,,,,,
tech:T3.02.01,technology,四足机器人,L3,,,,,,,
tech:T3.02.02,technology,轮足机器人,L3,,,,,,,
tech:T3.02.03,technology,仿生机器人,L3,,,,,,,
tech:T3.02.04,technology,软体机器人,L3,,,,,,,
tech:T3.03.01,technology,协作机器人,L3,,,,,,,
tech:T3.03.02,technology,复合机器人,L3,,,,,,,
tech:T3.03.03,technology,外骨骼机器人,L3,,,,,,,
tech:T3.03.04,technology,并联机器人,L3,,,,,,,
tech:T3.03.05,technology,SCARA机器人,L3,,,,,,,
tech:T3.03.06,technology,巡检与物流机器人,L3,,,,,,,
tech:T3.03.07,technology,服务机器人,L3,,,,,,,
tech:T3.03.08,technology,移动机器人(AMR/AGV),L3,,,,,,,
tech:T3.03.09,technology,工业机械臂,L3,,,,,,,
tech:T3.04.01,technology,灵巧手传动与驱动,L3,,,,,,,
tech:T3.04.02,technology,灵巧手(多指),L3,,,,,,,
tech:T3.04.03,technology,末端执行器,L3,,,,,,,
tech:T3.04.04,technology,夹爪,L3,,,,,,,
tech:T3.05.01,technology,一体化关节模组,L3,,,,,,,
tech:T3.05.02,technology,关节驱动控制,L3,,,,,,,
tech:T3.05.03,technology,执行器,L3,,,,,,,
tech:T3.05.04,technology,电机与驱动,L3,,,,,,,
tech:T3.06.01,technology,谐波减速器,L3,,,,,,,
tech:T3.06.02,technology,精密减速器,L3,,,,,,,
tech:T3.06.03,technology,行星滚柱丝杠,L3,,,,,,,
tech:T3.06.04,technology,精密传动,L3,,,,,,,
tech:T3.06.05,technology,精密轴承,L3,,,,,,,
tech:T3.07.01,technology,精密结构件,L3,,,,,,,
tech:T3.07.02,technology,轻量化材料,L3,,,,,,,
tech:T3.08.01,technology,AI芯片,L3,,,,,,,
tech:T3.08.02,technology,域控制器,L3,,,,,,,
tech:T3.08.03,technology,嵌入式计算,L3,,,,,,,
tech:T3.08.04,technology,算力硬件,L3,,,,,,,
tech:T4.01.01,technology,遥操作数据采集,L3,,,,,,,
tech:T4.01.02,technology,数字训练场,L3,,,,,,,
tech:T4.01.03,technology,数据质量与增强,L3,,,,,,,
tech:T4.01.04,technology,数据集,L3,,,,,,,
tech:T4.01.05,technology,数据采集设备与工具链,L3,,,,,,,
tech:T4.01.06,technology,数据管线,L3,,,,,,,
tech:T4.02.01,technology,合成数据,L3,,,,,,,
tech:T4.03.01,technology,高保真仿真(3DGS),L3,,,,,,,
tech:T4.03.02,technology,可微分物理仿真,L3,,,,,,,
tech:T4.03.03,technology,数字孪生,L3,,,,,,,
tech:T4.03.04,technology,仿真加速,L3,,,,,,,
tech:T4.03.05,technology,仿真平台与工具链,L3,,,,,,,
tech:T4.03.06,technology,细分方法与技术(其他),L3,,,,,,,
tech:T4.04.01,technology,域随机化,L3,,,,,,,
tech:T4.04.02,technology,域自适应,L3,,,,,,,
tech:T4.04.03,technology,策略蒸馏,L3,,,,,,,
tech:T4.04.04,technology,系统辨识,L3,,,,,,,
tech:T4.04.05,technology,场景重建与解析,L3,,,,,,,
tech:T4.04.06,technology,残差策略,L3,,,,,,,
tech:T4.04.07,technology,对抗对齐迁移,L3,,,,,,,
tech:T4.04.08,technology,真实-合成闭环,L3,,,,,,,
tech:T4.04.09,technology,跨域不变迁移,L3,,,,,,,
tech:T4.04.10,technology,数字表亲,L3,,,,,,,
tech:T4.04.11,technology,分割掩码解耦,L3,,,,,,,
tech:T4.04.12,technology,Sim-to-Real虚实迁移,L3,,,,,,,
tech:T4.04.13,technology,细分方法与技术(其他),L3,,,,,,,
tech:T4.05.01,technology,数据质量治理,L3,,,,,,,
tech:T4.05.02,technology,数据标准化,L3,,,,,,,
tech:T5.01.01,technology,ROS,L3,,,,,,,
tech:T5.01.02,technology,机器人操作系统,L3,,,,,,,
tech:T5.02.01,technology,5G与通信网络,L3,,,,,,,
tech:T5.03.01,technology,开发与部署工具链,L3,,,,,,,
tech:T5.04.01,technology,算力基础设施,L3,,,,,,,
tech:T5.04.02,technology,云边端协同,L3,,,,,,,
tech:T6.01.01,technology,多模态交互,L3,,,,,,,
tech:T6.01.02,technology,情感交互,L3,,,,,,,
tech:T6.01.03,technology,人机共融,L3,,,,,,,
tech:T6.01.04,technology,意图预测与信任校准,L3,,,,,,,
tech:T6.01.05,technology,提示接地与策略生成,L3,,,,,,,
tech:T6.01.06,technology,人机交互(通用),L3,,,,,,,
tech:T6.02.01,technology,具身智能安全,L3,,,,,,,
tech:T6.03.01,technology,管网检测机器人,L3,,,,,,,
tech:T6.03.02,technology,工业检测,L3,,,,,,,
tech:T6.03.03,technology,标准制定,L3,,,,,,,
tech:T6.03.04,technology,检测认证,L3,,,,,,,
tech:T6.04.01,technology,AI安全评测,L3,,,,,,,
tech:T6.04.02,technology,评测基础设施,L3,,,,,,,
tech:T7.01.01,technology,巡检机器人(工业),L3,,,,,,,
tech:T7.01.02,technology,打磨抛光机器人,L3,,,,,,,
tech:T7.01.03,technology,焊接机器人,L3,,,,,,,
tech:T7.01.04,technology,汽车制造,L3,,,,,,,
tech:T7.01.05,technology,矿山智能装备,L3,,,,,,,
tech:T7.01.06,technology,核工业装备,L3,,,,,,,
tech:T7.01.07,technology,军工装备,L3,,,,,,,
tech:T7.01.08,technology,智能制造与工业自动化,L3,,,,,,,
tech:T7.01.09,technology,智能装备,L3,,,,,,,
tech:T7.01.10,technology,半导体制造,L3,,,,,,,
tech:T7.02.01,technology,无人叉车,L3,,,,,,,
tech:T7.02.02,technology,智能仓储,L3,,,,,,,
tech:T7.02.03,technology,智能分拣,L3,,,,,,,
tech:T7.02.04,technology,物流配送机器人,L3,,,,,,,
tech:T7.02.05,technology,智慧物流,L3,,,,,,,
tech:T7.02.06,technology,非红色供应链,L3,,,,,,,
tech:T7.03.01,technology,清洁机器人,L3,,,,,,,
tech:T7.03.02,technology,零售与营销机器人,L3,,,,,,,
tech:T7.03.03,technology,商用服务机器人,L3,,,,,,,
tech:T7.04.01,technology,手术机器人,L3,,,,,,,
tech:T7.04.02,technology,康复机器人,L3,,,,,,,
tech:T7.04.03,technology,康养陪护机器人,L3,,,,,,,
tech:T7.04.04,technology,医疗机器人(通用),L3,,,,,,,
tech:T7.05.01,technology,农业机器人,L3,,,,,,,
tech:T7.06.01,technology,水下机器人,L3,,,,,,,
tech:T7.06.02,technology,矿山机器人,L3,,,,,,,
tech:T7.06.03,technology,防爆机器人,L3,,,,,,,
tech:T7.06.04,technology,工业智能运维,L3,,,,,,,
tech:T7.06.05,technology,空间智能与空间机器人,L3,,,,,,,
tech:T7.06.06,technology,特种机器人(通用),L3,,,,,,,
tech:T7.07.01,technology,家庭机器人,L3,,,,,,,
tech:T7.07.02,technology,陪伴机器人,L3,,,,,,,
tech:T7.07.03,technology,教育机器人,L3,,,,,,,
tech:T7.07.04,technology,助行机器人,L3,,,,,,,
tech:T7.07.05,technology,消费级机器人(通用),L3,,,,,,,
tech:T7.08.01,technology,无人机,L3,,,,,,,
tech:T7.08.02,technology,eVTOL飞行器,L3,,,,,,,
tech:T7.08.03,technology,低空经济,L3,,,,,,,
tech:T7.08.04,technology,飞行器(通用),L3,,,,,,,
fam:编程语言,capability_family,编程语言,,编程语言,,,,,,
cap:Python,capability,Python,,编程语言,274,,,,,
cap:C++,capability,C++,,编程语言,565,,,,,
cap:C,capability,C,,编程语言,2,,,,,
cap:Java,capability,Java,,编程语言,26,,,,,
cap:Go,capability,Go,,编程语言,11,,,,,
cap:MATLAB,capability,MATLAB,,编程语言,16,,,,,
cap:Simulink,capability,Simulink,,编程语言,4,,,,,
fam:AI框架,capability_family,AI框架,,AI框架,,,,,,
cap:PyTorch,capability,PyTorch,,AI框架,123,,,,,
cap:TensorFlow,capability,TensorFlow,,AI框架,68,,,,,
cap:JAX,capability,JAX,,AI框架,19,,,,,
cap:TensorRT,capability,TensorRT,,AI框架,39,,,,,
cap:ONNX,capability,ONNX,,AI框架,22,,,,,
cap:CUDA,capability,CUDA,,AI框架,32,,,,,
cap:OpenCV,capability,OpenCV,,AI框架,9,,,,,
cap:PCL,capability,PCL,,AI框架,5,,,,,
fam:机器人框架,capability_family,机器人框架,,机器人框架,,,,,,
cap:ROS/ROS2,capability,ROS/ROS2,,机器人框架,171,,,,,
cap:MoveIt,capability,MoveIt,,机器人框架,7,,,,,
cap:Gazebo,capability,Gazebo,,机器人框架,32,,,,,
cap:Isaac Sim/Lab,capability,Isaac Sim/Lab,,机器人框架,83,,,,,
cap:MuJoCo,capability,MuJoCo,,机器人框架,63,,,,,
cap:Webots,capability,Webots,,机器人框架,3,,,,,
fam:算法-感知,capability_family,算法-感知,,算法-感知,,,,,,
cap:SLAM,capability,SLAM,,算法-感知,39,,,,,
cap:计算机视觉,capability,计算机视觉,,算法-感知,189,,,,,
cap:目标检测,capability,目标检测,,算法-感知,33,,,,,
cap:语义分割,capability,语义分割,,算法-感知,19,,,,,
cap:点云处理,capability,点云处理,,算法-感知,59,,,,,
cap:NeRF/3DGS,capability,NeRF/3DGS,,算法-感知,43,,,,,
cap:深度估计,capability,深度估计,,算法-感知,14,,,,,
cap:目标跟踪,capability,目标跟踪,,算法-感知,11,,,,,
fam:算法-控制,capability_family,算法-控制,,算法-控制,,,,,,
cap:运动控制,capability,运动控制,,算法-控制,179,,,,,
cap:路径规划,capability,路径规划,,算法-控制,49,,,,,
cap:轨迹优化,capability,轨迹优化,,算法-控制,27,,,,,
cap:阻抗控制,capability,阻抗控制,,算法-控制,23,,,,,
cap:力控,capability,力控,,算法-控制,60,,,,,
cap:运动学,capability,运动学,,算法-控制,127,,,,,
cap:动力学,capability,动力学,,算法-控制,162,,,,,
cap:MPC,capability,MPC,,算法-控制,41,,,,,
fam:算法-AI,capability_family,算法-AI,,算法-AI,,,,,,
cap:VLA,capability,VLA,,算法-AI,58,,,,,
cap:LLM,capability,LLM,,算法-AI,55,,,,,
cap:强化学习,capability,强化学习,,算法-AI,198,,,,,
cap:模仿学习,capability,模仿学习,,算法-AI,72,,,,,
cap:深度学习,capability,深度学习,,算法-AI,223,,,,,
cap:机器学习,capability,机器学习,,算法-AI,85,,,,,
cap:Transformer,capability,Transformer,,算法-AI,37,,,,,
cap:Diffusion,capability,Diffusion,,算法-AI,39,,,,,
cap:多模态,capability,多模态,,算法-AI,259,,,,,
cap:端到端学习,capability,端到端学习,,算法-AI,153,,,,,
cap:自然语言处理,capability,自然语言处理,,算法-AI,49,,,,,
fam:算法-应用,capability_family,算法-应用,,算法-应用,,,,,,
cap:RAG,capability,RAG,,算法-应用,15,,,,,
cap:Agent,capability,Agent,,算法-应用,58,,,,,
cap:Prompt Engineering,capability,Prompt Engineering,,算法-应用,26,,,,,
cap:LangChain,capability,LangChain,,算法-应用,12,,,,,
fam:软件工程,capability_family,软件工程,,软件工程,,,,,,
cap:Linux,capability,Linux,,软件工程,122,,,,,
cap:Docker,capability,Docker,,软件工程,53,,,,,
cap:Kubernetes,capability,Kubernetes,,软件工程,46,,,,,
cap:Git,capability,Git,,软件工程,32,,,,,
cap:CI/CD,capability,CI/CD,,软件工程,65,,,,,
cap:DevOps,capability,DevOps,,软件工程,18,,,,,
fam:嵌入式/硬件,capability_family,嵌入式/硬件,,嵌入式/硬件,,,,,,
cap:嵌入式开发,capability,嵌入式开发,,嵌入式/硬件,283,,,,,
cap:MCU,capability,MCU,,嵌入式/硬件,46,,,,,
cap:ARM,capability,ARM,,嵌入式/硬件,23,,,,,
cap:FPGA,capability,FPGA,,嵌入式/硬件,9,,,,,
cap:DSP,capability,DSP,,嵌入式/硬件,13,,,,,
cap:CAN,capability,CAN,,嵌入式/硬件,82,,,,,
cap:EtherCAT,capability,EtherCAT,,嵌入式/硬件,51,,,,,
cap:电机驱动,capability,电机驱动,,嵌入式/硬件,336,,,,,
cap:传感器,capability,传感器,,嵌入式/硬件,411,,,,,
cap:PCB设计,capability,PCB设计,,嵌入式/硬件,42,,,,,
fam:仿真与数据,capability_family,仿真与数据,,仿真与数据,,,,,,
cap:仿真,capability,仿真,,仿真与数据,449,,,,,
cap:数字孪生,capability,数字孪生,,仿真与数据,6,,,,,
cap:数据采集,capability,数据采集,,仿真与数据,153,,,,,
cap:数据标注,capability,数据标注,,仿真与数据,28,,,,,
fam:机械设计,capability_family,机械设计,,机械设计,,,,,,
cap:SolidWorks,capability,SolidWorks,,机械设计,114,,,,,
cap:AutoCAD,capability,AutoCAD,,机械设计,30,,,,,
cap:Catia,capability,Catia,,机械设计,23,,,,,
cap:Creo,capability,Creo,,机械设计,54,,,,,
cap:NX/UG,capability,NX/UG,,机械设计,92,,,,,
fam:其他,capability_family,其他,,其他,,,,,,
cap:标定,capability,标定,,其他,91,,,,,
job:O00015,job,"Staff AI Product Designer, Gemini Assistant, GeminiApp",高级,,,"Staff AI Product Designer, Gemini Assistant, GeminiApp",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00014,job,"Staff AI Product Designer, Gemini Assistant",中级,,,"Staff AI Product Designer, Gemini Assistant",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00016,job,"Staff AI Product Designer, Growth &amp; Discovery, GeminiApp",高级,,,"Staff AI Product Designer, Growth &amp; Discovery, GeminiApp",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00012,job,"Research Scientist, Multimodal Alignment, Safety, and Fairness",中级,,,"Research Scientist, Multimodal Alignment, Safety, and Fairness",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00018,job,"Tech Strategy Director, Compute, Google DeepMind",高级,,,"Tech Strategy Director, Compute, Google DeepMind",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00019,job,"Research Engineer, Materials Science",初级,,,"Research Engineer, Materials Science",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00010,job,"Research Engineer, Human Understanding",高级,,,"Research Engineer, Human Understanding",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O07975,job,Head of AI AI,中级,,,Head of AI AI,基础理论与前沿研究,基础与前沿研究,中游-整机,
job:O00011,job,"Research Engineer, Multimodal Reasoning For Information Literacy",中级,,,"Research Engineer, Multimodal Reasoning For Information Literacy",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O00013,job,"Distinguished Designer, Gemini App Systems",中级,,,"Distinguished Designer, Gemini App Systems",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O03712,job,实习生招聘共0个职位,初级,,,实习生招聘共0个职位,仿真测试与数据工程,数据工程,下游-应用场景(C端消费),
job:O00017,job,"Research Scientist, Gemini Safety",高级,,,"Research Scientist, Gemini Safety",基础理论与前沿研究,基础与前沿研究,中游-AI基础模型（具身大脑）,
job:O01729,job,上海 SRE高级工程师（公有云）,高级,,,上海 SRE高级工程师（公有云）,软件硬件与系统架构,软件与系统,中游-整机+算法（软硬全栈）,
job:O06217,job,未说明岗位名称,高级,,,未说明岗位名称,感知决策与控制算法,SLAM与控制,中游-整机制造+上游-核心技术,
job:O06208,job,未说明岗位名称,中级,,,未说明岗位名称,感知决策与控制算法,SLAM与控制,中游-整机制造+上游-核心技术,
job:O06004,job,"Helix AI Engineer, Agentic Systems",中级,,,"Helix AI Engineer, Agentic Systems",基础理论与前沿研究,基础与前沿研究,中游-整机（人形机器人）,
job:O06013,job,"Helix AI Engineer, Robot Learning",高级,,,"Helix AI Engineer, Robot Learning",感知决策与控制算法,算法工程,中游-整机（人形机器人）,
job:O06041,job,AI Data Operations Lead,中级,,,AI Data Operations Lead,感知决策与控制算法,视觉与多模态,中游-整机（人形机器人）,
job:O06018,job,Manufacturing Equipment Technician,初级,,,Manufacturing Equipment Technician,感知决策与控制算法,SLAM与控制,中游-整机（人形机器人）,
job:O06219,job,未说明岗位名称,高级,,,未说明岗位名称,感知决策与控制算法,SLAM与控制,中游-整机制造+上游-核心技术,
job:O06213,job,未说明岗位名称,高级,,,未说明岗位名称,感知决策与控制算法,SLAM与控制,中游-整机制造+上游-核心技术,
job:O06015,job,"Helix AI Engineer, Video Pretraining",中级,,,"Helix AI Engineer, Video Pretraining",感知决策与控制算法,视觉与多模态,中游-整机（人形机器人）,
job:O00293,job,上海 Customer Project Manager,中级,,,上海 Customer Project Manager,软件硬件与系统架构,软件与系统,上游-核心零部件（激光雷达）,
job:O00292,job,上海 Customer Project Manager,中级,,,上海 Customer Project Manager,软件硬件与系统架构,软件与系统,上游-核心零部件（激光雷达）,
job:O06012,job,"Helix AI Engineer, Reinforcement Learning",高级,,,"Helix AI Engineer, Reinforcement Learning",感知决策与控制算法,SLAM与控制,中游-整机（人形机器人）,
job:O06009,job,"Helix AI Engineer, Modeling",中级,,,"Helix AI Engineer, Modeling",基础理论与前沿研究,基础与前沿研究,中游-整机（人形机器人）,
job:O06008,job,"Helix AI Engineer, Generative AI",中级,,,"Helix AI Engineer, Generative AI",感知决策与控制算法,视觉与多模态,中游-整机（人形机器人）,
job:O06050,job,Helix Data Creator (Day Shift),高级,,,Helix Data Creator (Day Shift),软件硬件与系统架构,软件与系统,中游-整机（人形机器人）,
job:O06011,job,"Helix AI Engineer, Pretraining",中级,,,"Helix AI Engineer, Pretraining",基础理论与前沿研究,基础与前沿研究,中游-整机（人形机器人）,
job:O03717,job,世界模型方向实习研究员（World Model / World Action Model ）,中级,,,世界模型方向实习研究员（World Model / World Action Model ）,基础理论与前沿研究,基础与前沿研究,中游-整机+算法(世界模型),
job:O06020,job,"Manufacturing Test Engineer, PCBA",高级,,,"Manufacturing Test Engineer, PCBA",感知决策与控制算法,视觉与多模态,中游-整机（人形机器人）,
job:O06027,job,Commercial Launch Technician,中级,,,Commercial Launch Technician,感知决策与控制算法,视觉与多模态,中游-整机（人形机器人）,
