occ_id,group_id,标准岗位,变体数,"真实标题变体(已出现别名,|分隔)"
P014,,生产总监,3,生产总监|生产总监(整机量产)|生产总监(量产爬坡)
P015,,供应链总监,3,供应链总监|供应链总监(机器人零部件)|供应链经理
P016,,具身智能质量总监,3,具身智能质量总监|质量总监|质量总监(激光雷达/机器人)
P017,,交付运营总监,8,交付运营总监|具身智能运营总监|北京办运营总监|行业应用运营总监|部署与运营总监|部署运营总监|部署运营总监(数采与交付)|部署运营总监(移动机器人)
P018,,AI算法科学家(机器人学习),8,"AI算法科学家(机器人学习)|Research Scientist, Embodied AI|Research Scientist, Robot Learning|具身大模型研究科学家|具身智能研究科学家(Robot Learning)|具身智能首席科学家|机器人学习研究科学家|机器人学习科学家"
P019,,AI伦理与治理专家(智能机器人),10,"AI伦理与治理专家(智能机器人)|AI安全与治理专家(机器人方向)|Physical AI Safety Policy Specialist|Safety Strategy Researcher, Embodied Systems|具身AI伦理博士后研究员|大模型安全策略专家(具身方向)|机器人伦理与安全策略专家|机器人功能安全与伦理专家|机器人安全工程师(安全策略)|机器人安全策略专家"
P020,,Staff RL Research Engineer,9,Staff RL Research Engineer|强化学习研究员(人形运动控制)|强化学习研究员(具身智能)|强化学习算法工程师|强化学习算法工程师(足式机器人)|强化学习算法工程师/专家(具身操作)|机器人运动控制算法工程师(RL/IL)|深度强化学习算法工程师|真机强化学习算法工程师
P021,,"Research Scientist, Cognitive Science",10,"Research Scientist, Cognitive Science|Research Scientist, Neuroscience & AI|具身认知研究员|神经计算研究员|脑科学与类脑计算研究员|认知与类脑算法研究员|认知大模型研究员|认知智能研究员(具身方向)|认知科学研究员|认知科学研究员(机器人认知)"
P022,,力控算法研究员,10,力控算法研究员|控制与学习融合研究员|控制算法研究员(全身控制)|机器人控制理论研究专家|机器人控制算法专家|自适应控制研究员|足式运动控制研究员|运动控制算法专家|运动控制算法研究员|运控算法工程师
P023,,传感器前沿研究员(FMCW方向),10,传感器前沿研究员(FMCW方向)|传感器材料研究员|传感器系统专家|关节电机与材料研究员|柔性传感材料研究员|柔性陶瓷传感材料研究员|激光雷达传感器研究员(芯片方向)|电子皮肤材料研究员|类脑触觉传感器研究员|触觉传感器研究员
P024,,AI算法工程师(大模型方向),6,AI算法工程师(大模型方向)|AI算法工程师(视觉感知方向)|VLA算法工程师|具身智能算法工程师|具身智能算法工程师(应届可投)|具身智能算法工程师(机械臂)
P025,,3D视觉定位算法工程师,10,3D视觉定位算法工程师|SLAM/感知算法工程师|SLAM算法工程师|SLAM算法工程师(家用机器人)|SLAM算法工程师(机器人)|SLAM算法工程师(物流机器人)|SLAM算法工程师(足式机器人)|VSLAM算法工程师|感知定位建图算法工程师(2026届)|机器人感知算法工程师(SLAM)
P026,,机器人运动控制算法工程师(2026届),8,机器人运动控制算法工程师(2026届)|运动控制工程师(人形机器人)|运动控制工程师(四足)|运动控制算法工程师|运动控制算法资深工程师(灵巧手)|运动规划工程师(自适应机器人)|运动规划算法专家(机器人)|运动规划算法工程师
P027,,多传感器融合算法工程师,8,多传感器融合算法工程师|多模态传感融合算法工程师(灵巧手方向)|多模态感知算法工程师(机器人)|多模态感知融合工程师|多模态感知融合工程师(机器人)|多模态感知融合算法工程师|感知融合算法工程师|机器人感知算法工程师(多传感器融合)
P028,,机器学习工程师,6,机器学习工程师|机器学习工程师(大装置)|机器学习工程师(感知方向)|机器学习工程师(智能云/机器人)|机器学习工程师(机器人方向)|机器学习工程师(机器人集群)
P029,,3D视觉算法工程师,8,3D视觉算法工程师|点云感知算法工程师|视觉感知工程师(机器人)|视觉感知算法工程师|视觉算法工程师|视觉算法工程师(人形机器人)|视觉算法工程师(巡检机器人)|计算机视觉算法工程师
P030,,具身大模型工程师,8,具身大模型工程师|具身大模型微调工程师|大模型应用架构/微调专家|大模型微调与应用工程师|大模型微调工程师|大模型集成工程师|端侧大模型工程师|边缘大模型集成工程师
P031,,AI系统架构师,7,AI系统架构师|具身智能大模型架构师|具身智能系统架构师|机器人AI架构师|机器人系统架构师|机器人系统架构师(昇腾/鸿蒙)|系统架构师(人形机器人)
P032,,人形机器人硬件架构师,8,人形机器人硬件架构师|机器人硬件架构师|硬件架构师|硬件架构师(人形机器人)|硬件架构师(机器人)|芯片与硬件架构师(机器人)|芯片架构师|高级硬件系统工程师-人形机器人SoC硬件架构
P033,,后台/机器人软件架构师,6,后台/机器人软件架构师|机器人软件架构师|软件架构师|软件架构师(智能机器人/座舱)|软件架构师(机器人)|软件架构师(机器人OS)
P034,,大模型应用架构专家,6,大模型应用架构专家|算法架构师|算法架构师(AI芯片)|算法架构师(具身大模型)|算法架构师(具身智能)|算法架构师(智驾/机器人)
P035,,数据架构师,6,数据架构师|数据架构师(具身数据)|数据架构师(具身数据闭环)|数据架构师(大装置)|数据架构师(物流机器人)|数据架构师/数据平台负责人
P036,,AI安全架构师,9,AI安全架构师|信息安全架构师|安全架构师|安全架构师(AI安全)|安全架构师(数据与模型)|安全架构师(智能硬件)|安全架构师(终端与机器人)|机器人安全架构师|网络安全架构师
P037,,HRI交互设计师,9,HRI交互设计师|UIUX设计师(人形机器人操控)|UX设计师(机器人App)|交互设计师|人机交互(HRI)设计师|智能交互设计师|机器人UX设计师|机器人交互设计师|资深UI/UX设计师
P038,,工业设计师,5,工业设计师|工业设计师(四足机器人)|机器人工业设计师|资深工业设计师|资深工业设计师(机器人)
P039,,机器人软件工程师(ROS/ROS2),1,机器人软件工程师(ROS/ROS2)
P040,,机器人嵌入式/固件工程师,1,机器人嵌入式/固件工程师
P041,,机器人上位机/应用软件开发工程师,1,机器人上位机/应用软件开发工程师
P042,,机器人动力学与仿真工程师,1,机器人动力学与仿真工程师
P043,,机器人仿真工程师,1,机器人仿真工程师
P044,,技术美术/3D环境美术师,1,技术美术/3D环境美术师
P045,,机械设计/开发工程师,1,机械设计/开发工程师
P046,,电子/电气设计/开发工程师,1,电子/电气设计/开发工程师
P047,,传感器技术工程师,1,传感器技术工程师
P048,,驱动开发工程师,1,驱动开发工程师
P049,,机器人机构结构工程师,1,机器人机构结构工程师
P050,,系统集成工程师,1,系统集成工程师
P051,,DevOps/MLOps/RobotOps工程师,1,DevOps/MLOps/RobotOps工程师
P052,,具身数据工程师,1,具身数据工程师
P053,,具身数据采集与标注经理/专员,1,具身数据采集与标注经理/专员
P054,,具身数据挖掘与分析(Corner Case),1,具身数据挖掘与分析(Corner Case)
P055,,机器人测试架构师,1,机器人测试架构师
P056,,机器人软件/硬件/系统测试工程师,1,机器人软件/硬件/系统测试工程师
P057,,机器人自动化测试工程师,1,机器人自动化测试工程师
P058,,机器人性能/可靠性工程师,1,机器人性能/可靠性工程师
P059,,场地/路测工程师,1,场地/路测工程师
P060,,系统安全与形式化验证工程师,1,系统安全与形式化验证工程师
P061,,机器人生产总监/生产制造经理,1,机器人生产总监/生产制造经理
P062,,制造工程师,1,制造工程师
P063,,工艺工程师,1,工艺工程师
P064,,工业工程师,1,工业工程师
P065,,NPI新产品导入工程师,1,NPI新产品导入工程师
P066,,自动化产线工程师,1,自动化产线工程师
P067,,制造测试工程师,1,制造测试工程师
P068,,机器人供应链专家,1,机器人供应链专家
P069,,质量控制(QC)/保证(QA)工程师/经理,1,质量控制(QC)/保证(QA)工程师/经理
P070,,采购工程师/经理,1,采购工程师/经理
P071,,供应商质量工程师(SQE),1,供应商质量工程师(SQE)
P072,,物料与仓储经理,1,物料与仓储经理
P073,,具身智能业务营销VP/CMO,3,具身智能业务营销VP/CMO|首席营销官(CMO)|首席营销官/品牌VP
P074,,产品助理/产品经理(2026校招),10,产品助理/产品经理(2026校招)|产品管理类-产品经理(战略与产品族)|产品经理(人形机器人Galbot)|产品经理(割草机器人/配送机器人)|产品经理(协作机器人)|产品经理(家用清洁机器人)|产品经理(机器人整机/软件方向)|产品经理(机器人方向)|人形机器人产品经理|高级产品经理
P075,,品牌公关业务伙伴专家(AIMA生态线),8,品牌公关业务伙伴专家(AIMA生态线)|品牌经理|市场总监|市场策划与宣传(海外)|市场经理(3D视觉)|市场经理(机器人/具身智能业务)|市场营销经理(机器人业务)|欧美地区部市场营销经理
P076,,数字营销/电商运营专家,10,数字营销/电商运营专家|数字营销专家|数字营销专家(机器人业务)|数字营销专家(海外)|新加坡BD兼品牌营销策划(社媒运营)|新媒体运营专家|海外数字营销专员|海外新媒体运营|海外社媒营销专员|编导(视频内容)
P077,,市场分析经理,9,市场分析经理|市场情报分析师|市场研究专员(特种机器人)|市场研究分析师|市场研究经理(仓储物流机器人)|市场调研分析师|战略与市场分析师|行业分析师(机器人/具身智能)|行业研究分析师(人形机器人)
P078,,内容营销专员(视频/图文方向),7,内容营销专员(视频/图文方向)|内容营销专家|内容营销经理|技术传播专员(机器人业务)|技术文档/内容编辑|技术文档工程师|技术文档工程师(机器人/终端产品)
P079,,PR专家,10,PR专家|公共关系经理(PR)|公关经理(PR)|品牌公关经理|品牌公关经理(机器人业务)|政府事务/公共关系专员|政府事务经理|政府事务经理(GR)|政府关系经理(GR)|项目经理(政府关系/市场拓展)
P080,,区域销售总监(工业人形机器人),10,区域销售总监(工业人形机器人)|大客户销售总监(物流机器人)|大客户销售经理(国内)|海外销售经理/专员|销售总监|销售总监(3C/汽车行业)|销售总监(华东区)|销售总监(海外/国内事业群)|销售总监(解决方案销售)|销售经理(FA机器人)
P081,,业务拓展经理(BD),10,业务拓展经理(BD)|业务拓展经理(商用服务机器人)|产学研合作经理|新加坡BD兼品牌营销策划|生态合作BD经理|生态合作BD经理(具身智能)|生态合作经理(端侧AI)|生态合作经理(视觉生态)|行业BD经理(电力/应急)|行业拓展经理(机器人/行业应用)
P082,,销售工程师,7,销售工程师|销售工程师(协作机器人)|销售工程师(智能协作机器人)|销售工程师(机器人)|销售工程师(特种机器人)|销售工程师(移动机器人)|销售经理(行业线)
P083,,海外渠道经理(欧洲/东南亚),10,海外渠道经理(欧洲/东南亚)|海外经销经理|渠道/经销管理经理(教育与服务机器人)|渠道伙伴经理(Partner Manager)|渠道经理(代理商体系)|渠道经理(海外经销)|渠道销售经理|渠道销售经理(教育/分销)|线下渠道经理(机器人产品)|门店产品顾问(北京/上海)
P084,,产品技术支持工程师(机器视觉/机械臂),10,产品技术支持工程师(机器视觉/机械臂)|售前技术工程师|售前技术支持工程师(3D视觉)|售前方案工程师(教育方向)|售前解决方案工程师|售前解决方案工程师(人形机器人)|应用工程师(2026届校招)|应用工程师-Genie业务部|解决方案工程师(仓储物流)|解决方案工程师(工业巡检/警用消防/应急方向)
P085,,具身智能行业解决方案架构师,10,具身智能行业解决方案架构师|机器人感知解决方案专家|汽车行业解决方案专家|物流行业解决方案专家|特种机器人解决方案专家(矿山/应急)|行业应用专家(3C/锂电)|行业解决方案专家(具身智能)|行业解决方案专家(汽车装备)|行业解决方案专家(电商/鞋服仓储)|行业解决方案专家(零售/医药)
P086,,交付服务类工程师,10,交付服务类工程师|场景交付工程师|海外技术支持工程师|海外技术支持工程师(日语方向)|现场实施工程师(智能物流)|现场应用工程师(康复机器人)|现场部署工程师(MR)|现场部署工程师(电力巡检)|部署工程师(Walker产线实训)|项目实施工程师(AMR)
P087,,售后技术支持工程师,9,售后技术支持工程师|售后技术支持工程师-AGV|技术支持工程师|技术支持工程师(伺服/机器人)|技术支持工程师(教学装备)|技术支持工程师(远程支持中心)|技术服务工程师|机器人运维工程师(商用场景)|系统工程师(售后技术支持)
P088,,大客户经理(人形机器人),9,大客户经理(人形机器人)|大客户经理(科研/行业客户)|客户成功经理|客户成功经理(MR)|客户成功经理(行业AI)|客户服务经理(物流仓储自动化)|客户经理(华东)|机器人维保销售工程师|海外客户支持经理
P089,,售后诊断工程师(机器人/影像产品),10,"售后诊断工程师(机器人/影像产品)|智能运维工程师(AIOps,机器人产线)|矿山装备远程诊断工程师|远程技术支持工程师|远程支持工程师|远程诊断工程师(人形机器人)|远程诊断工程师(智能清洁设备)|远程诊断工程师(机器人云平台)|远程运维工程师(RMS平台)|远程运维工程师(装备健康监测)"
P090,,售后工程师,8,售后工程师|售后维修工程师|机器人维修技师(Robot Rebuild & Repair)|维修工程师|维修工程师(AGV)|维修工程师(服务机器人/人形机器人)|维修工程师(机器人本体)|维修技师(特种机器人)
P091,,FAE培训系统工程师,10,FAE培训系统工程师|产品培训师(门店/行业)|培训讲师(机器人学院)|实训讲师(产教融合)|客户培训工程师|应用培训讲师(康复机器人)|教育机器人培训讲师|机器人培训工程师|机器人培训讲师|视觉应用培训工程师
P092,,人力资源副总裁(HRVP),6,人力资源副总裁(HRVP)|人力资源总监(HRD)|人力资源总裁助理/HRD|人力资源负责人(HRVP)|首席人事官(CHRO)|首席人事官(CHRO)-集团人力负责人
P093,,HRBP,8,HRBP|HRBP(仓储机器人业务)|HRBP-机器人业务|HRBP/人力资源经理|HRBP经理|人力资源专员(校招文科类)|人力资源专员/主管|人力资源经理
P094,,招聘专员,8,招聘专员|招聘专家(共创)|招聘经理|招聘经理(技术线)|资深招聘(销售/职能/技术岗)|资深招聘经理|高级招聘经理|高级招聘经理(TA)
P095,,企业文化与组织发展经理,10,企业文化与组织发展经理|企业文化高级经理|组织与文化经理|组织发展/企业文化专家|组织发展OD(北京)|组织发展OD经理|组织发展专家|组织发展专家(岗位管理方向)|组织发展专家-AI变革方向|组织发展经理
P096,,培训与人才发展经理,7,培训与人才发展经理|培训发展经理|薪酬专家|薪酬绩效专家(COE)|薪酬绩效经理|薪酬绩效经理(COE)|薪酬绩效高级经理
P097,,财务总监,6,财务总监|财务总监(Finance Director)|财务负责人|财务负责人/财务总监|财务部高级负责人|首席财务官(CFO)
P098,,财务专员(校招财经类),8,财务专员(校招财经类)|财务分析师(FP&A)|财务总监|财务经理|财务经理(机器人事业部)|财务经理(财务共享中心)|费用会计|高级财务经理
P099,,合规专员(AI方向),9,合规专员(AI方向)|法务专员|法务专员(2027届校招)|法务专员(游戏/AI合规方向参考)|法务专员/IP专员|法务经理|法务经理(机器人业务)|知识产权与法务经理|知识产权经理
P100,,大区销售经理(渠道),10,大区销售经理(渠道)|教育机器人销售经理(河南区域渠道)|渠道销售经理(3D视觉+机器人)|渠道销售经理(AMR物流机器人)|渠道销售经理(医疗行业)|渠道销售经理(协作机器人)|渠道销售经理(教育/商业服务)|渠道销售经理(海外)|销售经理/总监(汽车行业)|销售经理/高级销售经理(华南汽车行业渠道)
P101,,人工智能安全岗(AI合规),10,人工智能安全岗(AI合规)|合规专员(海外机器人产品)|合规经理(全球贸易)|合规经理(数据与AI)|合规风控经理|合规风控经理(机器人业务)|数据和AI合规(合规法务)|海外游戏合规经理-PMO|风控合规经理|风控经理
P102,,AI伦理与政策研究员,10,AI伦理与政策研究员|AI伦理与治理专家(具身智能)|AI伦理与治理研究员(伦理小组)|AI伦理师|AI伦理治理专员|AI治理与伦理专家|AI治理专家(AI Governance)|AI治理合规专家|人工智能治理与合规保障专家|数据和AI合规专家
P103,,知识产权专员,5,知识产权专员|知识产权专员/经理|知识产权总监|知识产权经理|知识产权经理(激光雷达)
P104,,产品经理(工业智能机器人),10,产品经理(工业智能机器人)|产品经理(标准产品定义方向)|机器人产品经理|标品总监(AMR)|标品总监(协作机器人)|标品经理|标品经理(3D视觉)|标品经理(四足/人形)|标品经理(清洁机器人)|通用(标品)销售经理(华南)
P105,,IT支持工程师,8,IT支持工程师|IT支持经理|IT运维/桌面工程师|IT运维工程师|系统运维工程师|网络安全工程师|运维开发工程师|高级数据库运维工程师
P106,,个人信息安全合规工程师,10,个人信息安全合规工程师|数据合规负责人(DPO)|数据安全/个人信息保护资深TS工程师|数据安全与隐私官(DPO)|数据安全与隐私负责人|数据安全官|数据安全开发工程师/专家|数据安全运营专家|数据安全高级专家|隐私合规专家(DPO)
P107,,品牌与公关总监,9,品牌与公关总监|品牌公关经理|品牌市场经理|品牌营销经理|市场策划与宣传专员(海外)|市场行销经理|市场行销经理(机器人事业部)|法务总监|行销经理(海外市场)
