sample_id,audit_run_code,stratum,subject_kind,subject_id,subject_label,predicate,object_kind,object_id,object_label,plausibility_score,supporting_job_count,support_percentile,jaccard,path_closure,label,evidence_checked,annotator,note
layer_c_0056,validation_fixed,medium,cluster,JC-ee5f1f1efca9d3f6,世界模型研究员,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.3182,2,0.575,0.006,0.0,,false,,
layer_c_0057,validation_fixed,medium,cluster,JC-567e8c9ce0bb5e05,运控负责人,cluster_needs_tech,technology,T1.03.12,运动控制(通用),0.3191,2,0.575,0.009,0.0,,false,,
layer_c_0058,validation_fixed,medium,cluster,JC-fe9411131d521da5,优才-具身智能算法研究员(预训练方向)-觅蜂子公司,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.3182,2,0.575,0.006,0.0,,false,,
layer_c_0059,validation_fixed,medium,cluster,JC-af5c7c479f009bc3,运动控制算法资深工程师,cluster_needs_tech,technology,T1.05.02,强化学习,0.3202,2,0.575,0.013,0.0,,false,,
layer_c_0060,validation_fixed,medium,organization,org_3cd5a0668c20f19d4d656cc9,清微智能,org_has_tech,technology,T1.04.06,路径规划与轨迹,0.3193,2,0.575,0.01,0.0,,false,,
layer_c_0061,validation_fixed,medium,organization,org_b59ef7313eebea39be26e36e,原力无限,org_has_tech,technology,T2.01.01,激光雷达,0.3195,2,0.575,0.011,0.0,,false,,
layer_c_0062,validation_fixed,medium,organization,org_981090b355184106742260ea,蓝思科技,org_has_tech,technology,T2.02.07,机器视觉,0.4343,3,0.76,0.004,0.1,,false,,
layer_c_0063,validation_fixed,medium,organization,org_da2aa29b05e644cd76376ef1,云深处科技(DEEP Robotics),org_has_tech,technology,T7.01.08,智能制造与工业自动化,0.4383,3,0.76,0.017,0.1,,false,,
layer_c_0064,validation_fixed,medium,organization,org_ce22f929f4a1746769b765d5,智平方,org_has_tech,technology,T1.03.03,力控与柔顺控制,0.4913,4,0.841,0.045,0.1,,false,,
layer_c_0065,validation_fixed,medium,cluster,JC-cdc2bc1267fcd4dc,解决方案(工业),cluster_needs_tech,technology,T3.03.08,移动机器人(AMR/AGV),0.3247,2,0.575,0.028,0.0,,false,,
layer_c_0066,validation_fixed,medium,cluster,JC-1095ca4ddbf5b65c,感知算法工程师(自主导航方向),cluster_needs_tech,technology,T5.01.01,ROS,0.3189,2,0.575,0.008,0.0,,false,,
layer_c_0067,validation_fixed,medium,cluster,JC-f04d1ce33a5b9736,具身智能算法工程师,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.4363,3,0.76,0.01,0.1,,false,,
layer_c_0068,validation_fixed,medium,cluster,JC-b2e3c5c8de39182e,越南 越南总经理,cluster_needs_tech,technology,T7.01.08,智能制造与工业自动化,0.3213,2,0.575,0.016,0.0,,false,,
layer_c_0069,validation_fixed,medium,organization,org_1096c0b0aab0ef39063a1ceb,万境千寻,org_has_tech,technology,T3.05.04,电机与驱动,0.3181,2,0.575,0.006,0.0,,false,,
layer_c_0070,validation_fixed,medium,organization,org_e4f426535203ec61557f779b,大族电机,org_has_tech,technology,T1.03.12,运动控制(通用),0.3189,2,0.575,0.009,0.0,,false,,
layer_c_0071,validation_fixed,medium,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T3.08.04,算力硬件,0.439,3,0.76,0.019,0.1,,false,,
layer_c_0072,validation_fixed,medium,cluster,JC-da802f65b99cc8b2,机器人模型算法工程师,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.3182,2,0.575,0.006,0.0,,false,,
layer_c_0073,validation_fixed,medium,cluster,JC-dc03e9b5b305262a,嵌入式软件开发,cluster_needs_tech,technology,T5.01.01,ROS,0.3189,2,0.575,0.009,0.0,,false,,
layer_c_0074,validation_fixed,medium,organization,org_dfacf29ba75685e348a075f9,煤炭科学研究总院,org_has_tech,technology,T7.06.06,特种机器人(通用),0.3002,1,0.0,1.0,0.0,,false,,
layer_c_0075,validation_fixed,medium,cluster,JC-81e6c5b91a4eaa65,视频生成/世界模型算法工程师,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.3182,2,0.575,0.006,0.0,,false,,
layer_c_0076,validation_fixed,medium,cluster,JC-d186d4a64b2d5ab5,技术培训经理,cluster_needs_tech,technology,T1.03.12,运动控制(通用),0.4372,3,0.76,0.014,0.1,,false,,
layer_c_0077,validation_fixed,medium,cluster,JC-936f456812e33881,机械资深工程师,cluster_needs_tech,technology,T3.01.05,人形机器人整机与商业化,0.4692,3,0.76,0.12,0.1,,false,,
layer_c_0078,validation_fixed,medium,cluster,JC-d9fdac5a502e1287,机器人灵巧手工程师,cluster_needs_tech,technology,T3.04.03,末端执行器,0.3497,2,0.575,0.111,0.0,,false,,
layer_c_0079,validation_fixed,medium,cluster,JC-29d65d6e088a9ab5,高级轮足运控算法工程师,cluster_needs_tech,technology,T3.02.02,轮足机器人,0.4663,2,0.575,0.5,0.0,,false,,
layer_c_0080,validation_fixed,medium,cluster,JC-739602bf18185571,大模型产品经理,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.3185,2,0.575,0.007,0.0,,false,,
layer_c_0081,validation_fixed,medium,cluster,JC-d9fdac5a502e1287,机器人灵巧手工程师,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.3185,2,0.575,0.007,0.0,,false,,
layer_c_0082,validation_fixed,medium,cluster,JC-d65f77c3e4f1d082,自动化工程师,cluster_needs_tech,technology,T6.03.04,检测认证,0.319,2,0.575,0.009,0.0,,false,,
layer_c_0083,validation_fixed,medium,cluster,JC-4cb10666b1983bd2,机器人赛事运营经理,cluster_needs_tech,technology,T5.01.01,ROS,0.3189,2,0.575,0.009,0.0,,false,,
layer_c_0084,validation_fixed,medium,organization,org_cbac1c9ce686c199cdbbd94d,思谋科技,org_has_tech,technology,T4.01.05,数据采集设备与工具链,0.4878,4,0.841,0.034,0.1,,false,,
layer_c_0085,validation_fixed,medium,organization,org_f225e68641a6f464db11d9ed,众擎机器人(EngineAI),org_has_tech,technology,T1.03.12,运动控制(通用),0.4365,3,0.76,0.011,0.1,,false,,
layer_c_0086,validation_fixed,medium,cluster,JC-3f8f5c49c88b9849,运动控制算法,cluster_needs_tech,technology,T1.05.02,强化学习,0.3203,2,0.575,0.013,0.0,,false,,
layer_c_0087,validation_fixed,medium,cluster,JC-2201726b2d829aec,具身智能大模型算法专家,cluster_needs_tech,technology,T3.03.08,移动机器人(AMR/AGV),0.4457,3,0.76,0.042,0.1,,false,,
layer_c_0088,validation_fixed,medium,cluster,JC-4cb10666b1983bd2,机器人赛事运营经理,cluster_needs_tech,technology,T4.03.05,仿真平台与工具链,0.3237,2,0.575,0.025,0.0,,false,,
layer_c_0089,validation_fixed,medium,cluster,JC-da802f65b99cc8b2,机器人模型算法工程师,cluster_needs_tech,technology,T5.01.01,ROS,0.3189,2,0.575,0.009,0.0,,false,,
layer_c_0090,validation_fixed,medium,cluster,JC-174e06711fec1627,系统资深工程师,cluster_needs_tech,technology,T3.01.05,人形机器人整机与商业化,0.3403,2,0.575,0.08,0.0,,false,,
layer_c_0091,validation_fixed,medium,organization,org_bb1a8b58caf1bd325e150008,觅蜂科技,org_has_tech,technology,T1.04.01,SLAM,0.3228,2,0.575,0.022,0.0,,false,,
layer_c_0092,validation_fixed,medium,organization,org_8dc72a4672894e0f743c25d5,自变量机器人,org_has_tech,technology,T4.03.05,仿真平台与工具链,0.4379,3,0.76,0.016,0.1,,false,,
layer_c_0093,validation_fixed,medium,organization,org_37365438c321f10e200f4fb6,优必选机器人,org_has_tech,technology,T3.04.03,末端执行器,0.4356,3,0.76,0.008,0.1,,false,,
layer_c_0094,validation_fixed,medium,organization,org_48487ec45c1768608d4c6c1f,Neura Robotics,org_has_tech,technology,T1.05.03,模仿学习,0.4894,4,0.841,0.039,0.1,,false,,
layer_c_0095,validation_fixed,medium,cluster,JC-960fc1f8d201839c,具身智能研究员,cluster_needs_tech,technology,T7.06.06,特种机器人(通用),0.3002,1,0.0,1.0,0.0,,false,,
layer_c_0096,validation_fixed,medium,cluster,JC-95f853e46e26eeef,关节模组工程师,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.4819,4,0.841,0.014,0.1,,false,,
layer_c_0097,validation_fixed,medium,organization,org_48487ec45c1768608d4c6c1f,Neura Robotics,org_has_tech,technology,T3.02.01,四足机器人,0.4838,4,0.841,0.02,0.1,,false,,
layer_c_0098,validation_fixed,medium,cluster,JC-c361aeab057241b6,infra算法工程师(三维重建方向),cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.4363,3,0.76,0.011,0.1,,false,,
layer_c_0099,validation_fixed,medium,organization,org_2a3463384a2b7a9036d75db4,禾赛科技,org_has_tech,technology,T7.01.08,智能制造与工业自动化,0.4356,3,0.76,0.008,0.1,,false,,
layer_c_0100,validation_fixed,medium,cluster,JC-4b7b17efe43cc289,视触觉传感器研究员,cluster_needs_tech,technology,T2.02.04,视触觉传感与融合,0.3002,1,0.0,1.0,0.0,,false,,
layer_c_0101,validation_fixed,high,cluster,JC-34bc211586b292e8,机械结构工程师,cluster_needs_tech,technology,T3.05.01,一体化关节模组,0.5787,10,0.956,0.127,0.1,,false,,
layer_c_0102,validation_fixed,high,cluster,JC-ac37b863363f8376,博士后,cluster_needs_tech,technology,T3.04.02,灵巧手(多指),0.5509,8,0.936,0.07,0.1,,false,,
layer_c_0103,validation_fixed,high,organization,org_37365438c321f10e200f4fb6,优必选机器人,org_has_tech,technology,T3.05.01,一体化关节模组,0.5479,10,0.956,0.024,0.1,,false,,
layer_c_0104,validation_fixed,high,cluster,JC-2ca73e0ae4ddde42,待命名岗位簇,cluster_needs_tech,technology,T3.02.03,仿生机器人,0.6326,15,0.974,0.273,0.1,,false,,
layer_c_0105,validation_fixed,high,organization,org_2a3463384a2b7a9036d75db4,禾赛科技,org_has_tech,technology,T7.01.04,汽车制造,0.6181,70,0.999,0.178,0.1,,false,,
layer_c_0106,validation_fixed,high,organization,org_d1e2fdc01207d16247e17948,北京星动纪元科技有限公司,org_has_tech,technology,T3.05.04,电机与驱动,0.5541,12,0.962,0.033,0.1,,false,,
layer_c_0107,validation_fixed,high,organization,org_2a3463384a2b7a9036d75db4,禾赛科技,org_has_tech,technology,T1.01.11,VLA端到端大模型,0.5479,11,0.958,0.019,0.1,,false,,
layer_c_0108,validation_fixed,high,cluster,JC-95f853e46e26eeef,关节模组工程师,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.5548,12,0.962,0.036,0.1,,false,,
layer_c_0109,validation_fixed,high,cluster,JC-bc0fd60a128f8054,嵌入式硬件工程师,cluster_needs_tech,technology,T1.03.12,运动控制(通用),0.5201,6,0.906,0.022,0.1,,false,,
layer_c_0110,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T3.01.05,人形机器人整机与商业化,0.5445,8,0.936,0.049,0.1,,false,,
layer_c_0111,validation_fixed,high,cluster,JC-bdb3360412432440,机械结构,cluster_needs_tech,technology,T3.02.01,四足机器人,0.5248,6,0.906,0.038,0.1,,false,,
layer_c_0112,validation_fixed,high,cluster,JC-78253fd4cd04a2c9,仪校工程师,cluster_needs_tech,technology,T6.03.04,检测认证,0.6167,39,0.995,0.182,0.1,,false,,
layer_c_0113,validation_fixed,high,organization,org_48487ec45c1768608d4c6c1f,Neura Robotics,org_has_tech,technology,T2.02.09,力觉感知,0.5467,6,0.906,0.111,0.1,,false,,
layer_c_0114,validation_fixed,high,cluster,JC-5f94279a52a203f6,电商运营经理,cluster_needs_tech,technology,T7.08.01,无人机,0.5429,5,0.882,0.143,0.1,,false,,
layer_c_0115,validation_fixed,high,organization,org_ed71c3420dbf50a96a81a36c,智元机器人,org_has_tech,technology,T2.02.09,力觉感知,0.5027,5,0.882,0.009,0.1,,false,,
layer_c_0116,validation_fixed,high,cluster,JC-1095ca4ddbf5b65c,感知算法工程师(自主导航方向),cluster_needs_tech,technology,T2.01.02,深度相机,0.6072,5,0.882,0.357,0.1,,false,,
layer_c_0117,validation_fixed,high,cluster,JC-d186d4a64b2d5ab5,技术培训经理,cluster_needs_tech,technology,T3.01.02,轮式人形机器人,0.6582,3,0.76,0.75,0.1,,false,,
layer_c_0118,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T5.01.01,ROS,0.5874,32,0.991,0.092,0.1,,false,,
layer_c_0119,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T2.02.01,六维力传感器,0.5093,5,0.882,0.031,0.1,,false,,
layer_c_0120,validation_fixed,high,cluster,JC-71d05a91f20dc823,结构工程师,cluster_needs_tech,technology,T3.02.01,四足机器人,0.5248,6,0.906,0.038,0.1,,false,,
layer_c_0121,validation_fixed,high,organization,org_48487ec45c1768608d4c6c1f,Neura Robotics,org_has_tech,technology,T6.01.06,人机交互(通用),0.5341,6,0.906,0.069,0.1,,false,,
layer_c_0122,validation_fixed,high,organization,org_9ad0a3c06039a41416d81872,五八智能科技（杭州）有限公司,org_has_tech,technology,T1.04.08,具身智能导航,0.5177,5,0.882,0.059,0.1,,false,,
layer_c_0123,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T3.01.01,双足人形机器人,0.5248,6,0.906,0.038,0.1,,false,,
layer_c_0124,validation_fixed,high,organization,org_37365438c321f10e200f4fb6,优必选机器人,org_has_tech,technology,T3.03.03,外骨骼机器人,0.5447,9,0.949,0.026,0.1,,false,,
layer_c_0125,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T3.05.03,执行器,0.5084,5,0.882,0.028,0.1,,false,,
layer_c_0126,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T3.08.03,嵌入式计算,0.5355,7,0.925,0.039,0.1,,false,,
layer_c_0127,validation_fixed,high,cluster,JC-4a31686bb41953fe,nvh专家,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.5045,5,0.882,0.015,0.1,,false,,
layer_c_0128,validation_fixed,high,cluster,JC-994f8ca5dd93543a,资产管理专员,cluster_needs_tech,technology,T7.01.04,汽车制造,0.6163,38,0.994,0.183,0.1,,false,,
layer_c_0129,validation_fixed,high,cluster,JC-95f853e46e26eeef,关节模组工程师,cluster_needs_tech,technology,T3.03.01,协作机器人,0.5264,5,0.882,0.088,0.1,,false,,
layer_c_0130,validation_fixed,high,cluster,JC-96e9b62706812559,高级产品经理,cluster_needs_tech,technology,T6.01.06,人机交互(通用),0.5027,4,0.841,0.083,0.1,,false,,
layer_c_0131,validation_fixed,high,cluster,JC-c361aeab057241b6,infra算法工程师(三维重建方向),cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.5188,6,0.906,0.018,0.1,,false,,
layer_c_0132,validation_fixed,high,organization,org_ed71c3420dbf50a96a81a36c,智元机器人,org_has_tech,technology,T3.05.01,一体化关节模组,0.5499,12,0.962,0.019,0.1,,false,,
layer_c_0133,validation_fixed,high,organization,org_35826112ed957325dfd44955,宇树科技,org_has_tech,technology,T3.01.08,人形机器人(通用),0.5355,8,0.936,0.019,0.1,,false,,
layer_c_0134,validation_fixed,high,organization,org_2a3463384a2b7a9036d75db4,禾赛科技,org_has_tech,technology,T1.02.10,世界模型架构,0.5195,6,0.906,0.02,0.1,,false,,
layer_c_0135,validation_fixed,high,organization,org_ed71c3420dbf50a96a81a36c,智元机器人,org_has_tech,technology,T3.02.01,四足机器人,0.567,22,0.986,0.032,0.1,,false,,
layer_c_0136,validation_fixed,high,organization,org_cbac1c9ce686c199cdbbd94d,思谋科技,org_has_tech,technology,T2.02.07,机器视觉,0.603,20,0.985,0.155,0.1,,false,,
layer_c_0137,validation_fixed,high,cluster,JC-69b7f97648c34125,具身智能数据采购负责人,cluster_needs_tech,technology,T4.01.04,数据集,0.6222,15,0.974,0.238,0.1,,false,,
layer_c_0138,validation_fixed,high,organization,org_37365438c321f10e200f4fb6,优必选机器人,org_has_tech,technology,T3.06.02,精密减速器,0.5355,8,0.936,0.019,0.1,,false,,
layer_c_0139,validation_fixed,high,organization,org_9ad0a3c06039a41416d81872,五八智能科技（杭州）有限公司,org_has_tech,technology,T1.01.11,VLA端到端大模型,0.5039,5,0.882,0.013,0.1,,false,,
layer_c_0140,validation_fixed,high,cluster,JC-2ca73e0ae4ddde42,待命名岗位簇,cluster_needs_tech,technology,T2.01.01,激光雷达,0.5762,15,0.974,0.085,0.1,,false,,
layer_c_0141,validation_fixed,high,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T2.02.07,机器视觉,0.5079,5,0.882,0.026,0.1,,false,,
