岗位,公司,城市,薪资,经验,学历,JD描述,来源平台,收录时间
物联网平台工程师,讯智科技,成都,21-41K,经验不限,本科及以上,"岗位描述：承担预测性维护、智慧医疗模块的研发工作，深入使用预测性维护、智慧医疗、CoAP等技术栈，参与MEMS、智慧城市、嵌入式开发、嵌入式Linux、IoT平台能力建设。
任职要求：掌握预测性维护、智慧医疗、CoAP、MEMS、智慧城市、嵌入式开发、嵌入式Linux、IoT平台；具备扎实的数据结构与算法基础；有智能座舱、物联网平台经验加分。",synthetic-sample,2026-08-19
计算机视觉工程师,讯智科技,广州,35-49K,经验不限,本科及以上,"岗位描述：承担计算机视觉、LoRA模块的研发工作，深入使用计算机视觉、LoRA、搜索引擎等技术栈，参与Agent开发、目标检测、Prompt工程、机器学习能力建设。
任职要求：掌握计算机视觉、LoRA、搜索引擎、Agent开发、目标检测、Prompt工程、机器学习；具备扎实的数据结构与算法基础；有MLOps、RLHF经验加分。",synthetic-sample,2026-08-20
NLP算法工程师,讯智科技,成都,12-42K,5-10年,硕士,"岗位描述：承担PyTorch、大语言模型模块的研发工作，深入使用PyTorch、大语言模型、知识图谱等技术栈，参与JAX、RLHF、目标检测、视频分析、模型部署能力建设。
任职要求：掌握PyTorch、大语言模型、知识图谱、JAX、RLHF、目标检测、视频分析、模型部署；具备扎实的数据结构与算法基础；有计算机视觉、机器学习、模型微调经验加分。",synthetic-sample,2026-08-21
实时计算工程师,星图数据,上海,37-57K,5-10年,硕士及以上,"岗位描述：承担数据安全、BI报表模块的研发工作，深入使用数据安全、BI报表、AB测试等技术栈，参与ETL、数据血缘、元数据管理、OLAP、流式计算能力建设。
任职要求：掌握数据安全、BI报表、AB测试、ETL、数据血缘、元数据管理、OLAP、流式计算；具备扎实的数据结构与算法基础；有Spark经验加分。",synthetic-sample,2026-08-22
算法工程师,联创物联,南京,36-54K,1-3年,本科及以上,"岗位描述：承担搜索引擎、模型部署模块的研发工作，深入使用搜索引擎、模型部署、RAG等技术栈，参与命名实体识别、多模态大模型、机器学习、JAX能力建设。
任职要求：掌握搜索引擎、模型部署、RAG、命名实体识别、多模态大模型、机器学习、JAX；具备扎实的数据结构与算法基础；有强化学习、AI芯片经验加分。",synthetic-sample,2026-08-23
IoT解决方案架构师,云脉智能,杭州,33-43K,5-10年,硕士及以上,"岗位职责：
1. 负责固件开发、RTOS相关系统的设计、开发与持续优化；
2. 参与固件开发、RTOS方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握固件开发、RTOS、多传感融合、OTA升级、Modbus、智慧农业；
2. 具备良好的工程素养与团队协作能力；
3. 有IoT平台、SCADA、OPC UA相关经验者优先。",synthetic-sample,2026-08-24
后端开发工程师,深瞳算法,合肥,21-44K,经验不限,本科,"我们正在寻找一位专注后端开发、前端开发方向的工程师。你将负责：基于后端开发、前端开发、容器化构建核心能力，推动中间件开发、微服务、小程序开发、脑机接口、MongoDB在实际业务中的应用。
要求：熟悉后端开发、前端开发、容器化、中间件开发、微服务、小程序开发、脑机接口、MongoDB；了解自动化测试、iOS开发、智能合约者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-25
嵌入式软件工程师,慧眼科技,广州,26-43K,经验不限,硕士及以上,"岗位职责：
1. 负责传感器、边缘计算相关系统的设计、开发与持续优化；
2. 参与传感器、边缘计算方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握传感器、边缘计算、IoT平台、MQTT、SCADA、数字孪生、车联网、RTOS；
2. 具备良好的工程素养与团队协作能力；
3. 有工业互联网、物联网平台相关经验者优先。",synthetic-sample,2026-08-26
物联网平台工程师,光启云网,上海,29-53K,5-10年,本科及以上,"岗位职责：
1. 负责数字孪生、智能家居相关系统的设计、开发与持续优化；
2. 参与数字孪生、智能家居方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握数字孪生、智能家居、智能制造、传感器、IoT平台、WiFi6；
2. 具备良好的工程素养与团队协作能力；
3. 有工业互联网、蓝牙相关经验者优先。",synthetic-sample,2026-08-27
数据治理专家,云脉智能,深圳,24-45K,3-5年,硕士,"岗位描述：承担帆软FineBI、Spark模块的研发工作，深入使用帆软FineBI、Spark、用户画像等技术栈，参与Hive、ClickHouse、主数据管理、数据血缘、指标体系能力建设。
任职要求：掌握帆软FineBI、Spark、用户画像、Hive、ClickHouse、主数据管理、数据血缘、指标体系；具备扎实的数据结构与算法基础；有流式计算经验加分。",synthetic-sample,2026-08-28
BI开发工程师,联创物联,北京,20-55K,3-5年,硕士及以上,"岗位职责：
1. 负责Spark、数据集市相关系统的设计、开发与持续优化；
2. 参与Spark、数据集市方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握Spark、数据集市、HBase、StarRocks、BI报表、湖仓一体、实时数仓；
2. 具备良好的工程素养与团队协作能力；
3. 有Doris相关经验者优先。",synthetic-sample,2026-08-01
机器学习工程师,联创物联,成都,31-52K,3-5年,硕士及以上,"岗位职责：
1. 负责ASR、语音识别相关系统的设计、开发与持续优化；
2. 参与ASR、语音识别方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握ASR、语音识别、TTS、AI芯片、OpenCV、视频分析、图像分割；
2. 具备良好的工程素养与团队协作能力；
3. 有OCR、XGBoost相关经验者优先。",synthetic-sample,2026-08-02
BI开发工程师,云脉智能,成都,40-42K,5-10年,本科及以上,"岗位职责：
1. 负责数据清洗、用户画像相关系统的设计、开发与持续优化；
2. 参与数据清洗、用户画像方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握数据清洗、用户画像、元数据管理、数据仓库、数据可视化、数据质量；
2. 具备良好的工程素养与团队协作能力；
3. 有ClickHouse相关经验者优先。",synthetic-sample,2026-08-03
云原生开发工程师,讯智科技,杭州,33-55K,1-3年,硕士,"岗位描述：承担脑机接口、网络安全模块的研发工作，深入使用脑机接口、网络安全、ADAS等技术栈，参与MySQL、车路协同、工控系统能力建设。
任职要求：掌握脑机接口、网络安全、ADAS、MySQL、车路协同、工控系统；具备扎实的数据结构与算法基础；有Android开发经验加分。",synthetic-sample,2026-08-04
机器学习工程师,光启云网,成都,19-56K,1-3年,本科及以上,"岗位职责：
1. 负责视频分析、机器学习相关系统的设计、开发与持续优化；
2. 参与视频分析、机器学习方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握视频分析、机器学习、命名实体识别、搜索引擎、TensorFlow、PyTorch；
2. 具备良好的工程素养与团队协作能力；
3. 有知识图谱相关经验者优先。",synthetic-sample,2026-08-05
物联网平台工程师,云脉智能,合肥,17-60K,5-10年,本科,"岗位职责：
1. 负责设备接入、数字孪生相关系统的设计、开发与持续优化；
2. 参与设备接入、数字孪生方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握设备接入、数字孪生、蓝牙、传感器、设备管理、MQTT、SCADA、智能传感；
2. 具备良好的工程素养与团队协作能力；
3. 有物联网平台、固件开发、CoAP相关经验者优先。",synthetic-sample,2026-08-06
算法工程师,讯智科技,合肥,18-46K,经验不限,硕士及以上,"我们正在寻找一位专注语音识别、AutoML方向的工程师。你将负责：基于语音识别、AutoML、排序学习构建核心能力，推动ONNX、Agent开发、模型蒸馏、图像分割、特征工程在实际业务中的应用。
要求：熟悉语音识别、AutoML、排序学习、ONNX、Agent开发、模型蒸馏、图像分割、特征工程；了解目标检测、机器学习、AI芯片者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-07
云原生开发工程师,联创物联,北京,34-51K,经验不限,硕士及以上,"岗位职责：
1. 负责云计算、性能测试相关系统的设计、开发与持续优化；
2. 参与云计算、性能测试方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握云计算、性能测试、毫米波雷达、智能合约、容器化、路径规划；
2. 具备良好的工程素养与团队协作能力；
3. 有区块链相关经验者优先。",synthetic-sample,2026-08-08
实时计算工程师,天工智能,深圳,15-47K,1-3年,硕士及以上,"岗位描述：承担ClickHouse、Flink模块的研发工作，深入使用ClickHouse、Flink、元数据管理等技术栈，参与数据治理、HBase、Hive能力建设。
任职要求：掌握ClickHouse、Flink、元数据管理、数据治理、HBase、Hive；具备扎实的数据结构与算法基础；有Spark、Doris、主数据管理经验加分。",synthetic-sample,2026-08-09
边缘计算工程师,数联未来,南京,24-53K,5-10年,硕士,"岗位描述：承担FreeRTOS、传感器模块的研发工作，深入使用FreeRTOS、传感器、MEMS等技术栈，参与设备接入、嵌入式Linux、智能传感、NB-IoT、NFC能力建设。
任职要求：掌握FreeRTOS、传感器、MEMS、设备接入、嵌入式Linux、智能传感、NB-IoT、NFC；具备扎实的数据结构与算法基础；有物模型、物联网平台、智慧农业经验加分。",synthetic-sample,2026-08-10
物联网平台工程师,灵犀智造,上海,17-50K,1-3年,本科,"我们正在寻找一位专注智能传感、智慧城市方向的工程师。你将负责：基于智能传感、智慧城市、ZigBee构建核心能力，推动智能制造、NB-IoT、ARM 开发在实际业务中的应用。
要求：熟悉智能传感、智慧城市、ZigBee、智能制造、NB-IoT、ARM 开发；了解WiFi6、端侧推理者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-11
智能硬件开发工程师,慧眼科技,上海,35-59K,1-3年,本科及以上,"岗位描述：承担设备接入、智慧城市模块的研发工作，深入使用设备接入、智慧城市、RFID等技术栈，参与端侧推理、RTOS、FreeRTOS、STM32能力建设。
任职要求：掌握设备接入、智慧城市、RFID、端侧推理、RTOS、FreeRTOS、STM32；具备扎实的数据结构与算法基础；有多传感融合、边缘计算经验加分。",synthetic-sample,2026-08-12
工业互联网工程师,星图数据,北京,14-57K,经验不限,本科,"我们正在寻找一位专注ARM 开发、NFC方向的工程师。你将负责：基于ARM 开发、NFC、FreeRTOS构建核心能力，推动工业物联网、RFID、智能座舱、物联网平台、Modbus在实际业务中的应用。
要求：熟悉ARM 开发、NFC、FreeRTOS、工业物联网、RFID、智能座舱、物联网平台、Modbus；了解多传感融合、V2X、IIoT者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-13
机器人控制算法工程师,天工智能,南京,26-58K,经验不限,硕士及以上,"我们正在寻找一位专注智能合约、网络安全方向的工程师。你将负责：基于智能合约、网络安全、毫米波雷达构建核心能力，推动区块链、激光雷达、Python开发在实际业务中的应用。
要求：熟悉智能合约、网络安全、毫米波雷达、区块链、激光雷达、Python开发；了解信息安全者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-14
数据仓库工程师,联创物联,成都,30-46K,经验不限,硕士及以上,"岗位描述：承担Hadoop、元数据管理模块的研发工作，深入使用Hadoop、元数据管理、数据脱敏等技术栈，参与指标体系、数据可视化、实时计算、数据血缘能力建设。
任职要求：掌握Hadoop、元数据管理、数据脱敏、指标体系、数据可视化、实时计算、数据血缘；具备扎实的数据结构与算法基础；有数据中台经验加分。",synthetic-sample,2026-08-15
大模型应用工程师,深瞳算法,成都,24-55K,5-10年,本科及以上,"我们正在寻找一位专注召回算法、scikit-learn方向的工程师。你将负责：基于召回算法、scikit-learn、OpenCV构建核心能力，推动对话系统、推荐系统、NLP、RAG、LLM在实际业务中的应用。
要求：熟悉召回算法、scikit-learn、OpenCV、对话系统、推荐系统、NLP、RAG、LLM；了解语义理解、排序学习者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-16
IoT解决方案架构师,天工智能,广州,38-48K,1-3年,硕士,"岗位职责：
1. 负责IIoT、ARM 开发相关系统的设计、开发与持续优化；
2. 参与IIoT、ARM 开发方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握IIoT、ARM 开发、多传感融合、智慧城市、传感器、车联网；
2. 具备良好的工程素养与团队协作能力；
3. 有RFID、边缘计算相关经验者优先。",synthetic-sample,2026-08-17
机器学习工程师,天工智能,广州,32-51K,1-3年,本科,"我们正在寻找一位专注Prompt工程、AutoML方向的工程师。你将负责：基于Prompt工程、AutoML、CUDA构建核心能力，推动文本分类、RAG、推理加速在实际业务中的应用。
要求：熟悉Prompt工程、AutoML、CUDA、文本分类、RAG、推理加速；了解迁移学习、模型微调者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-18
数据仓库工程师,慧眼科技,广州,20-55K,经验不限,硕士,"岗位描述：承担数据可视化、数据治理模块的研发工作，深入使用数据可视化、数据治理、帆软FineBI等技术栈，参与用户画像、元数据管理、Kafka、数据仓库能力建设。
任职要求：掌握数据可视化、数据治理、帆软FineBI、用户画像、元数据管理、Kafka、数据仓库；具备扎实的数据结构与算法基础；有Hadoop经验加分。",synthetic-sample,2026-08-19
智能硬件开发工程师,深瞳算法,南京,33-53K,3-5年,硕士,"岗位职责：
1. 负责FreeRTOS、5G通信相关系统的设计、开发与持续优化；
2. 参与FreeRTOS、5G通信方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握FreeRTOS、5G通信、ZigBee、OPC UA、边缘计算、固件开发、DCS、蓝牙；
2. 具备良好的工程素养与团队协作能力；
3. 有嵌入式开发、物联网平台、ARM 开发相关经验者优先。",synthetic-sample,2026-08-20
IoT解决方案架构师,灵犀智造,广州,29-46K,1-3年,硕士及以上,"岗位描述：承担V2X、预测性维护模块的研发工作，深入使用V2X、预测性维护、MEMS等技术栈，参与SCADA、WiFi6、固件开发、嵌入式开发、多传感融合能力建设。
任职要求：掌握V2X、预测性维护、MEMS、SCADA、WiFi6、固件开发、嵌入式开发、多传感融合；具备扎实的数据结构与算法基础；有PLC经验加分。",synthetic-sample,2026-08-21
数据分析师,灵犀智造,上海,35-57K,3-5年,硕士及以上,"岗位描述：承担PowerBI、数据合规模块的研发工作，深入使用PowerBI、数据合规、Hive等技术栈，参与隐私计算、维度建模、流式计算、Doris能力建设。
任职要求：掌握PowerBI、数据合规、Hive、隐私计算、维度建模、流式计算、Doris；具备扎实的数据结构与算法基础；有ClickHouse经验加分。",synthetic-sample,2026-08-22
边缘计算工程师,联创物联,深圳,26-59K,经验不限,硕士及以上,"岗位职责：
1. 负责IIoT、Modbus相关系统的设计、开发与持续优化；
2. 参与IIoT、Modbus方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握IIoT、Modbus、RFID、WiFi6、嵌入式Linux、FreeRTOS、物联网平台、SCADA；
2. 具备良好的工程素养与团队协作能力；
3. 有V2X、物模型、智慧城市相关经验者优先。",synthetic-sample,2026-08-23
机器学习工程师,灵犀智造,上海,12-56K,3-5年,硕士,"我们正在寻找一位专注机器学习、MindSpore方向的工程师。你将负责：基于机器学习、MindSpore、推理加速构建核心能力，推动LLM、深度学习、PaddlePaddle、LoRA、RLHF在实际业务中的应用。
要求：熟悉机器学习、MindSpore、推理加速、LLM、深度学习、PaddlePaddle、LoRA、RLHF；了解大语言模型者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-24
测试开发工程师,天工智能,广州,37-47K,3-5年,本科,"岗位职责：
1. 负责自动驾驶、AMR相关系统的设计、开发与持续优化；
2. 参与自动驾驶、AMR方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握自动驾驶、AMR、SpringCloud、Android开发、云计算、工控系统；
2. 具备良好的工程素养与团队协作能力；
3. 有微服务、区块链、全栈开发相关经验者优先。",synthetic-sample,2026-08-25
智能硬件开发工程师,灵犀智造,深圳,18-54K,3-5年,硕士及以上,"我们正在寻找一位专注预测性维护、MEMS方向的工程师。你将负责：基于预测性维护、MEMS、物模型构建核心能力，推动SCADA、STM32、传感器在实际业务中的应用。
要求：熟悉预测性维护、MEMS、物模型、SCADA、STM32、传感器；了解单片机、5G通信、OTA升级者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-26
智能硬件开发工程师,数联未来,广州,22-44K,经验不限,硕士,"岗位描述：承担设备接入、边缘网关模块的研发工作，深入使用设备接入、边缘网关、边缘计算等技术栈，参与固件开发、RFID、IoT平台能力建设。
任职要求：掌握设备接入、边缘网关、边缘计算、固件开发、RFID、IoT平台；具备扎实的数据结构与算法基础；有物模型经验加分。",synthetic-sample,2026-08-27
自动驾驶感知工程师,星图数据,南京,32-42K,3-5年,硕士及以上,"我们正在寻找一位专注全栈开发、AGV方向的工程师。你将负责：基于全栈开发、AGV、前端开发构建核心能力，推动区块链、分布式系统、量子计算、Java开发、Redis在实际业务中的应用。
要求：熟悉全栈开发、AGV、前端开发、区块链、分布式系统、量子计算、Java开发、Redis；了解SpringCloud、Go语言者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-28
自动驾驶感知工程师,天工智能,北京,26-60K,1-3年,本科及以上,"岗位职责：
1. 负责Java开发、运动控制相关系统的设计、开发与持续优化；
2. 参与Java开发、运动控制方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握Java开发、运动控制、MongoDB、毫米波雷达、性能测试、AGV；
2. 具备良好的工程素养与团队协作能力；
3. 有信息安全、协作机器人相关经验者优先。",synthetic-sample,2026-08-01
大数据开发工程师,讯智科技,深圳,13-56K,5-10年,硕士及以上,"岗位职责：
1. 负责ClickHouse、数据安全相关系统的设计、开发与持续优化；
2. 参与ClickHouse、数据安全方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握ClickHouse、数据安全、PowerBI、AB测试、数据中台、维度建模；
2. 具备良好的工程素养与团队协作能力；
3. 有Spark相关经验者优先。",synthetic-sample,2026-08-02
数据仓库工程师,讯智科技,南京,12-48K,5-10年,本科,"我们正在寻找一位专注数据清洗、隐私计算方向的工程师。你将负责：基于数据清洗、隐私计算、ClickHouse构建核心能力，推动实时计算、StarRocks、实时数仓在实际业务中的应用。
要求：熟悉数据清洗、隐私计算、ClickHouse、实时计算、StarRocks、实时数仓；了解BI报表者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-03
物联网平台工程师,深瞳算法,合肥,22-54K,1-3年,本科及以上,"我们正在寻找一位专注DCS、嵌入式开发方向的工程师。你将负责：基于DCS、嵌入式开发、工业物联网构建核心能力，推动车联网、STM32、边缘计算在实际业务中的应用。
要求：熟悉DCS、嵌入式开发、工业物联网、车联网、STM32、边缘计算；了解传感器、智能家居者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-04
大数据开发工程师,云脉智能,深圳,18-55K,3-5年,本科,"岗位职责：
1. 负责BI报表、ClickHouse相关系统的设计、开发与持续优化；
2. 参与BI报表、ClickHouse方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握BI报表、ClickHouse、Hive、Tableau、数据血缘、数据可视化；
2. 具备良好的工程素养与团队协作能力；
3. 有数据中台相关经验者优先。",synthetic-sample,2026-08-05
边缘计算工程师,讯智科技,深圳,19-41K,5-10年,本科,"岗位描述：承担单片机、智慧城市模块的研发工作，深入使用单片机、智慧城市、智能家居等技术栈，参与多传感融合、边缘网关、设备接入能力建设。
任职要求：掌握单片机、智慧城市、智能家居、多传感融合、边缘网关、设备接入；具备扎实的数据结构与算法基础；有STM32、CoAP经验加分。",synthetic-sample,2026-08-06
测试开发工程师,光启云网,杭州,33-53K,1-3年,本科及以上,"岗位描述：承担自动化测试、前端开发模块的研发工作，深入使用自动化测试、前端开发、性能测试等技术栈，参与容器化、飞控、路径规划能力建设。
任职要求：掌握自动化测试、前端开发、性能测试、容器化、飞控、路径规划；具备扎实的数据结构与算法基础；有渗透测试、车路协同经验加分。",synthetic-sample,2026-08-07
